"","x"
"1",4.1415028268085
"2",4.13439774261325
"3",4.46985921783173
"4",3.04325981262878
"5",2.46115041463241
"6",2.8361973589387
"7",3.56675226601435
"8",3.4746399244831
"9",2.90166563473777
"10",2.8976055866262
"11",3.1668375270247
"12",3.5710660671329
"13",3.92302148780463
"14",4.2463028186884
"15",4.74848001948823
"16",5.17706884826585
"17",5.21792308238853
"18",5.40062524740918
"19",5.5269942448818
"20",5.21411678728393
"21",5.25420976238568
"22",5.29887029161296
"23",4.81623207235006
"24",4.51122095796835
