"","x"
"1",4.40342111948514
"2",4.54737911762215
"3",3.07392666610213
"4",2.48115843847913
"5",2.21864679481751
"6",2.91303243289017
"7",3.3787788974511
"8",3.556609365738
"9",2.92150055042764
"10",3.19248031162673
"11",3.33643830976374
"12",3.94614277246168
"13",4.33567617918537
"14",4.67440088068422
"15",5.41112710644424
"16",5.32644593106952
"17",5.29257346091964
"18",6.23253450757896
"19",5.44499957659412
"20",5.05546616987044
"21",4.95384875942078
"22",4.80989076128377
"23",4.2679312388856
"24",4.22559065119824
