"","x"
"1",4.1885769310986
"2",4.0341511686214
"3",4.71264826870083
"4",3.11869039853384
"5",2.42111195424027
"6",2.81117013015252
"7",3.69423699029514
"8",3.48478595613066
"9",2.89104552453728
"10",2.82847646560255
"11",3.11380912443255
"12",3.43730447169083
"13",3.84910650496337
"14",4.17482061317678
"15",4.57109131976339
"16",5.04368740320655
"17",5.13731911551313
"18",5.20255068759402
"19",5.59083385474216
"20",5.34233262776735
"21",5.35253892816096
"22",5.4741270285022
"23",4.94961193870895
"24",4.57597259386468
