STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LAT,LON
1,10001,5,1,2018,6,6,0,33.59133056,-86.1319
1,10002,8,1,2018,2,0,48,33.80918611,-87.2898
1,10003,8,1,2018,2,22,50,32.76773611,-86.564
1,10004,9,1,2018,3,13,2,31.02780556,-87.6432
1,10005,19,1,2018,6,7,9,33.33210278,-86.9938
1,10006,19,1,2018,6,22,8,34.33426389,-85.8319
1,10007,21,1,2018,1,9,13,30.68679444,-88.1268
1,10008,23,1,2018,3,0,32,33.47605556,-86.9264
1,10009,27,1,2018,7,0,35,30.67824444,-88.1274
1,10010,28,1,2018,1,22,15,33.41248333,-86.8066
1,10011,28,1,2018,1,12,0,33.62233333,-85.605
1,10012,1,1,2018,2,22,47,34.748,-86.7889
1,10013,1,1,2018,2,20,5,34.69701944,-86.3776
1,10014,2,1,2018,3,21,5,32.66133611,-87.5465
1,10015,2,1,2018,3,14,30,33.79911389,-86.3405
1,10016,3,1,2018,4,16,45,34.25033333,-86.8815
1,10017,4,1,2018,5,13,22,33.92585833,-86.6046
1,10018,4,1,2018,5,16,44,34.06671111,-86.7624
1,10019,5,1,2018,6,2,0,32.33431389,-86.2711
1,10020,5,1,2018,6,6,10,34.68191389,-87.5908
1,10021,5,1,2018,6,8,50,34.77103611,-86.5857
1,10022,5,1,2018,6,9,9,34.20114722,-85.6216
1,10023,5,1,2018,6,12,15,34.91951667,-87.5319
1,10024,5,1,2018,6,22,20,33.70040833,-86.5138
1,10025,5,1,2018,6,14,13,31.44216389,-86.9313
1,10026,7,1,2018,1,18,18,33.65479722,-85.5546
1,10027,8,1,2018,2,2,40,33.58796944,-86.6994
1,10028,8,1,2018,2,7,25,33.11219167,-86.5993
1,10029,8,1,2018,2,23,35,34.84876667,-87.3226
1,10030,9,1,2018,3,7,15,34.83626667,-86.4659
1,10031,10,1,2018,4,20,58,34.53574722,-86.9088
1,10032,10,1,2018,4,17,58,30.65939167,-88.1103
1,10033,10,1,2018,4,22,40,34.215125,-86.8296
1,10034,11,1,2018,5,5,41,34.56191111,-87.0072
1,10035,11,1,2018,5,12,55,32.59588889,-86.056
1,10036,11,1,2018,5,22,0,33.46924167,-87.987
1,10037,12,1,2018,6,0,40,32.58283611,-86.2462
1,10038,12,1,2018,6,6,55,32.40756389,-85.0482
1,10039,12,1,2018,6,6,0,31.66978889,-85.8174
1,10040,13,1,2018,7,8,15,30.71172222,-88.0781
1,10041,13,1,2018,7,23,30,34.86742778,-86.8934
1,10042,14,1,2018,1,4,39,32.5914,-88.1829
1,10043,15,1,2018,2,6,20,33.66801667,-86.5804
1,10044,15,1,2018,2,15,35,34.85118611,-87.7532
1,10045,15,1,2018,2,18,25,34.68965556,-85.5711
1,10046,15,1,2018,2,11,5,32.464275,-85.0249
1,10047,16,1,2018,3,18,30,30.81046111,-88.0714
1,10048,16,1,2018,3,19,35,31.64838611,-85.462
1,10049,17,1,2018,4,13,45,31.16763056,-86.6018
1,10050,17,1,2018,4,14,10,30.78754722,-88.2876
1,10051,18,1,2018,5,15,30,31.96916667,-87.8709
1,10052,18,1,2018,5,13,20,33.83530278,-86.5676
1,10053,19,1,2018,6,17,47,33.57423889,-86.9069
1,10054,19,1,2018,6,10,26,32.52067222,-85.2549
1,10055,20,1,2018,7,17,30,31.77070556,-85.9169
1,10056,20,1,2018,7,2,31,33.75673056,-86.6394
1,10057,20,1,2018,7,21,41,33.75818333,-86.4446
1,10058,21,1,2018,1,6,12,34.71711389,-87.7463
1,10059,22,1,2018,2,13,5,30.5195,-87.7084
1,10060,22,1,2018,2,12,45,34.88531111,-86.8935
1,10061,24,1,2018,4,6,26,32.49865,-85.0448
1,10062,24,1,2018,4,6,0,30.88675278,-87.7233
1,10063,25,1,2018,5,7,34,33.23928889,-85.4825
1,10064,26,1,2018,6,12,45,33.81288889,-86.3843
1,10065,26,1,2018,6,15,30,31.47376389,-87.3512
1,10066,27,1,2018,7,6,44,33.90531667,-87.5702
1,10067,27,1,2018,7,23,50,33.46140556,-86.9154
1,10068,27,1,2018,7,20,15,33.922925,-87.0705
1,10069,28,1,2018,1,7,5,32.42993333,-86.9498
1,10070,29,1,2018,2,4,45,33.79005833,-86.3456
1,10071,29,1,2018,2,6,15,32.40755833,-87.0119
1,10072,31,1,2018,4,12,8,31.03475278,-87.4675
1,10073,31,1,2018,4,14,42,34.12429722,-86.0728
1,10074,1,2,2018,5,7,50,32.826225,-87.8486
1,10075,1,2,2018,5,15,10,32.37450833,-86.9339
1,10076,22,2,2018,5,21,20,33.2814,-86.8005
1,10077,12,2,2018,2,3,14,30.55615833,-88.2073
