"","STATE","AGE","SEX","PER_TYP","INJ_SEV","ST_CASE","MONTH","DAY","HOUR","MINUTE","YEAR"
"1",1,79,1,5,4,10001,1,13,17,38,2008
"2",1,74,1,1,0,10001,1,13,17,38,2008
"3",1,99,9,2,0,10001,1,13,17,38,2008
"4",1,45,1,1,4,10002,1,18,12,5,2008
"5",1,47,1,1,3,10002,1,18,12,5,2008
"6",1,36,1,1,4,10003,1,1,2,0,2008
"7",1,48,2,1,4,10004,1,23,10,25,2008
"8",1,99,2,2,0,10004,1,23,10,25,2008
"9",1,59,1,5,4,10005,1,3,21,45,2008
"10",1,52,2,5,4,10005,1,3,21,45,2008
"11",1,42,1,1,0,10005,1,3,21,45,2008
"12",1,57,1,1,4,10006,1,29,4,52,2008
"13",1,17,1,1,1,10007,1,5,16,22,2008
"14",1,43,1,1,4,10007,1,5,16,22,2008
"15",1,22,1,1,4,10008,1,31,15,50,2008
"16",1,16,2,2,1,10008,1,31,15,50,2008
"17",1,49,1,1,3,10008,1,31,15,50,2008
"18",1,28,1,5,4,10009,1,13,16,15,2008
"19",1,27,1,1,0,10009,1,13,16,15,2008
"20",1,32,1,1,0,10009,1,13,16,15,2008
"21",1,26,1,1,4,10010,1,1,6,5,2008
"22",1,24,1,1,3,10011,1,1,6,55,2008
"23",1,21,1,2,4,10011,1,1,6,55,2008
"24",1,46,2,1,4,10012,1,3,21,15,2008
"25",1,46,2,2,4,10012,1,3,21,15,2008
"26",1,62,1,1,0,10012,1,3,21,15,2008
"27",1,99,9,2,0,10012,1,3,21,15,2008
"28",1,41,1,1,3,10013,1,4,8,17,2008
"29",1,47,1,1,3,10013,1,4,8,17,2008
"30",1,11,2,2,4,10013,1,4,8,17,2008
"31",1,46,1,1,4,10014,1,5,13,45,2008
"32",1,40,1,5,4,10015,1,5,17,55,2008
"33",1,66,1,1,0,10015,1,5,17,55,2008
"34",1,41,1,1,4,10016,1,5,15,2,2008
"35",1,56,1,2,3,10016,1,5,15,2,2008
"36",1,62,1,1,4,10017,1,7,12,45,2008
"37",1,47,1,1,0,10017,1,7,12,45,2008
"38",1,61,2,1,4,10018,1,9,0,30,2008
"39",1,64,1,1,4,10019,1,25,19,5,2008
"40",1,61,2,2,4,10019,1,25,19,5,2008
"41",1,39,2,2,4,10019,1,25,19,5,2008
"42",1,58,1,1,0,10019,1,25,19,5,2008
"43",1,25,2,1,3,10020,1,9,12,30,2008
"44",1,9,1,2,3,10020,1,9,12,30,2008
"45",1,2,1,2,4,10020,1,9,12,30,2008
"46",1,38,1,1,0,10020,1,9,12,30,2008
"47",1,41,1,1,4,10021,1,10,9,1,2008
"48",1,50,1,1,3,10021,1,10,9,1,2008
"49",1,44,1,1,3,10022,1,12,3,0,2008
"50",1,30,1,2,4,10022,1,12,3,0,2008
"51",1,16,1,1,4,10023,1,13,16,15,2008
"52",1,53,1,1,4,10024,1,11,3,30,2008
"53",1,85,2,1,4,10025,1,15,10,50,2008
"54",1,26,1,1,3,10025,1,15,10,50,2008
"55",1,17,1,1,0,10026,1,11,15,5,2008
"56",1,36,1,1,4,10026,1,11,15,5,2008
"57",1,18,1,1,4,10027,1,15,6,20,2008
"58",1,21,1,2,3,10027,1,15,6,20,2008
"59",1,19,1,2,3,10027,1,15,6,20,2008
"60",1,20,1,5,4,10028,1,16,17,25,2008
"61",1,41,2,1,0,10028,1,16,17,25,2008
"62",1,29,1,1,4,10029,1,16,18,0,2008
"63",1,29,2,2,3,10029,1,16,18,0,2008
"64",1,2,2,2,3,10029,1,16,18,0,2008
"65",1,2,2,2,3,10029,1,16,18,0,2008
"66",1,44,2,1,0,10029,1,16,18,0,2008
"67",1,99,9,2,0,10029,1,16,18,0,2008
"68",1,63,1,1,4,10030,1,24,12,45,2008
"69",1,55,2,1,3,10030,1,24,12,45,2008
"70",1,75,2,1,4,10031,1,25,15,22,2008
"71",1,22,2,1,0,10031,1,25,15,22,2008
"72",1,99,9,2,0,10031,1,25,15,22,2008
"73",1,99,9,2,0,10031,1,25,15,22,2008
"74",1,36,1,1,4,10032,1,25,21,35,2008
"75",1,32,1,1,4,10033,1,19,8,25,2008
"76",1,23,1,1,4,10034,1,26,6,40,2008
"77",1,23,1,2,3,10034,1,26,6,40,2008
"78",1,60,1,1,3,10034,1,26,6,40,2008
"79",1,99,9,2,0,10034,1,26,6,40,2008
"80",1,29,1,1,3,10035,1,20,4,0,2008
"81",1,28,1,2,4,10035,1,20,4,0,2008
