STATE,ST_CASE,DAY,MONTH,HOUR,MINUTE,AGE,SEX,PER_TYP,INJ_SEV
1,10001,5,1,6,0,55,1,1,4
1,10002,8,1,0,48,24,1,1,4
1,10002,8,1,0,48,24,1,2,4
1,10003,8,1,22,50,37,2,1,4
1,10003,8,1,22,50,36,1,1,2
1,10004,9,1,13,2,58,1,1,0
1,10004,9,1,13,2,26,2,2,4
1,10005,19,1,7,9,28,1,1,4
1,10005,19,1,7,9,46,1,1,2
1,10006,19,1,22,8,38,1,5,4
1,10006,19,1,22,8,23,1,1,0
1,10006,19,1,22,8,42,2,3,3
1,10006,19,1,22,8,6,1,3,3
1,10006,19,1,22,8,5,1,3,3
1,10007,21,1,9,13,19,2,5,4
1,10007,21,1,9,13,73,1,1,0
1,10008,23,1,0,32,23,1,5,4
1,10008,23,1,0,32,40,1,1,0
1,10009,27,1,0,35,49,1,1,4
1,10010,28,1,22,15,46,1,5,4
1,10010,28,1,22,15,21,1,1,0
1,10011,28,1,12,0,38,1,1,4
1,10011,28,1,12,0,30,1,1,3
1,10011,28,1,12,0,58,2,1,3
1,10011,28,1,12,0,58,2,2,3
1,10012,1,1,22,47,31,1,1,4
1,10013,1,1,20,5,53,2,1,4
1,10013,1,1,20,5,11,2,2,4
1,10013,1,1,20,5,20,1,1,2
1,10013,1,1,20,5,51,1,1,1
1,10014,2,1,21,5,62,1,1,3
1,10014,2,1,21,5,24,2,1,4
1,10015,2,1,14,30,75,1,1,3
1,10015,2,1,14,30,89,2,2,4
1,10016,3,1,16,45,34,2,1,4
1,10016,3,1,16,45,21,1,2,3
1,10017,4,1,13,22,91,1,5,4
1,10017,4,1,13,22,27,1,1,0
1,10018,4,1,16,44,74,1,1,4
1,10018,4,1,16,44,31,2,2,1
1,10018,4,1,16,44,49,1,1,0
1,10019,5,1,2,0,34,2,1,3
1,10019,5,1,2,0,28,1,2,4
1,10020,5,1,6,10,32,1,1,4
1,10020,5,1,6,10,30,1,1,2
1,10021,5,1,8,50,75,1,1,4
1,10021,5,1,8,50,31,2,1,0
1,10021,5,1,8,50,9,1,2,0
1,10021,5,1,8,50,14,1,2,0
1,10021,5,1,8,50,8,2,2,0
1,10022,5,1,9,9,18,1,1,4
1,10022,5,1,9,9,18,2,2,3
